region_id,Total_Persons_Persons,Median_age_of_persons,Median_total_personal_income_weekly,Median_rent_weekly,Persons_Total_Volunteer,Persons_Year_12_or_equivalent_Total,Born_elsewhere_Persons,No_Internet_connection_Total,Different_usual_address_5_years_ago_Total_Persons,No_Religion_Persons,SA2_NAME,AREA_SQKM
204021065,3712,43,531,165,881,959,14,411,1139,805,Rutherglen,479.3483277
204021066,17687,41,489,180,3143,4810,155,2196,5936,3790,Wangaratta,57.58308945
204021067,9127,45,513,130,2279,2643,66,785,2233,2326,Wangaratta Region,3587.25307
204031068,4218,48,498,190,1012,1399,76,382,1232,1319,Beechworth,371.3301043
204031069,7734,47,488,175,1971,2575,168,680,2427,2490,Bright - Mount Beauty,4253.731274
204031070,2890,43,560,192,714,770,35,269,767,738,Chiltern - Indigo Valley,513.1746341
204031071,4510,47,445,160,963,1119,73,565,1194,823,Myrtleford,553.3641158
204031072,5862,47,458,135,1819,1449,53,670,1570,1331,Towong,6668.720953
204031073,14583,34,595,220,2203,4251,204,970,5888,3416,West Wodonga,153.8787121
204031074,20938,36,565,200,3450,6014,474,1884,8565,4702,Wodonga,278.8099914
204031075,4412,42,585,175,1190,1321,38,259,1274,1213,Yackandandah,708.1982783
205011076,13219,39,501,220,2331,3412,152,1158,5361,3492,Drouin,326.7615998
205011077,5965,43,497,150,1336,1616,42,437,1604,1746,Mount Baw Baw Region,2756.809605
205011078,7073,42,503,180,1350,1933,57,620,2514,1946,Trafalgar (Vic.),500.3829582
205011079,16722,40,528,200,3208,5048,202,1414,6286,4444,Warragul,353.2969154
205021080,0,0,0,0,0,0,0,0,0,0,Alps - East,2072.153082
205021081,13243,42,475,197,2460,3443,124,1536,5079,3598,Bairnsdale,155.0116203
205021082,7290,47,455,140,1738,1912,61,736,2078,2235,Bruthen - Omeo,7378.134992
205021083,0,0,0,0,0,0,0,0,0,0,Lake King,93.87431152
205021084,9463,49,413,200,1726,2355,83,1059,3454,2522,Lakes Entrance,214.049849
205021085,6701,48,391,125,1685,1668,77,922,1998,2489,Orbost,11382.70371
205021086,5604,56,427,200,1271,1624,60,538,2162,1663,Paynesville,417.7001995
205031087,8190,49,433,150,2173,2247,92,920,2465,2599,Foster,1499.988014
205031088,116,50,303,0,55,43,0,10,35,64,French Island,170.2290381
205031089,8744,42,489,180,1833,2146,70,792,2939,2761,Korumburra,600.6730852
205031090,10523,42,514,200,2522,2906,64,969,3549,3168,Leongatha,801.0282564
