region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Owned_outright_Total,Owned_with_a_mortgage_Total,Total_Persons_Persons
3106206,38,1767,646,310,1397,1.1,1241,2.7,68,57,452
3106207,37,1200,587,320,1489,1.1,1383,2.6,100,70,656
3106208,37,1791,674,420,2083,1.1,1874,3.3,57,59,466
3106209,36,2383,558,320,1536,1.1,1275,2.8,31,29,264
3106210,34,2279,603,345,1933,1.2,1680,3,59,45,417
3106211,41,2056,619,360,1579,1.1,1355,2.7,69,65,438
3106212,36,2300,646,335,1568,1.1,1447,2.9,47,54,349
3106213,35,2500,702,360,1968,1.1,1576,2.7,43,49,383
3106214,40,2000,604,393,1812,1.1,1583,3,48,28,277
3106215,36,2600,536,179,1343,1,1329,2.5,38,54,392
3106216,36,1950,548,205,1048,1.1,1071,2.8,31,46,358
3106217,35,1820,503,380,1696,1.1,1569,2.8,42,49,448
3106218,37,2059,629,385,1862,1.1,1687,3.4,60,56,490
3106219,42,1842,563,360,1702,1,1424,3,108,81,663
3106220,37,1798,541,389,1625,1.1,1298,3,92,81,675
3106222,43,3125,677,0,2094,1.1,2416,3.2,33,21,200
3106301,34,2000,885,0,2785,1.1,2794,3.9,35,45,323
3106302,27,2654,721,390,1587,1.1,1471,2.7,28,64,583
3106303,36,1832,724,350,2374,1,2454,3.4,49,34,307
3106304,33,2200,823,680,2736,1,2550,3.3,41,44,330
3106305,34,1738,723,340,1874,1,1583,2.3,57,88,551
3106306,34,2000,709,350,1924,1.1,1625,2.6,65,91,545
3106307,34,2400,688,328,1804,1.1,1697,2.7,41,81,481
3106308,40,2040,588,375,2512,1,2316,3,47,78,606
3106310,38,2025,367,155,1037,1.1,939,2.6,20,34,602
3106311,31,2167,374,140,939,1.2,850,2.7,18,28,415
3106312,31,2500,391,149,972,1.2,945,2.8,25,29,384
3106313,36,1950,705,380,1788,1.1,1636,2.6,53,55,386
3106314,37,2340,687,250,1712,1.1,1398,2.5,64,72,551
3106315,33,2167,605,350,1843,1.1,1359,2.6,59,56,432
3106316,33,2167,670,350,1595,1.1,1337,2.2,64,62,429
3106317,33,2200,804,385,2111,1.1,1828,2.6,43,63,357
3106318,46,2709,397,125,1204,1.1,630,1.7,33,27,480
3106319,37,2600,748,380,2067,1,1974,2.6,57,66,421
3106320,47,1961,478,78,1446,1.1,825,1.9,39,32,391
