SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,,,,,
10201104102,1104102,,,,,
10201104103,1104103,,,,,
10201104104,1104104,,,,,
10201104105,1104105,,,,,
10201104106,1104106,,,,,
10201104107,1104107,,,,,
10201104108,1104108,,,,,
10201104109,1104109,,,,,
10201104110,1104110,,,,,
10201104111,1104111,,,,,
10201104112,1104112,,,,,
10201104113,1104113,,,,,
10201104114,1104114,,,,,
10201104115,1104115,,,,,
10201104116,1104116,,,,,
10201104117,1104117,,,,,
10201104118,1104118,,,,,
10201104119,1104119,,,,,
10201104120,1104120,,,,,
10201104121,1104121,,,,,
10201104122,1104122,,,,,
10201104123,1104123,,,,,
10201104124,1104124,,,,,
10201104125,1104125,,,,,
10201104201,1104201,,,,,
10201104202,1104202,,,,,
10201104203,1104203,,,,,
10201104204,1104204,,,,,
10201104205,1104205,,,,,
10201104206,1104206,,,,,
10201104207,1104207,,,,,
10201104208,1104208,,,,,
10201104209,1104209,,,,,
10201104210,1104210,,,,,
10201104211,1104211,,,,,
10201104212,1104212,,,,,
10201104213,1104213,,,,,
10201104214,1104214,,,,,
10201104215,1104215,,,,,
